id,name,primary_muscles,secondary_muscles,body_part,equipment,difficulty,risk_level,impact,suitable_for,!suitable_for,description
,side hip abduction,abductors,"glutes, quadriceps",upper legs,body weight,,,,,,"Stand with your feet shoulder-width apart and your hands on your hips. Shift your weight to one leg and lift the opposite leg out to the side, keeping it straight. Pause for a moment at the top, then slowly lower your leg back down to the starting position. Repeat on the other side. Continue alternating sides for the desired number of repetitions."
,straight leg outer hip abductor,abductors,"glutes, hamstrings",upper legs,body weight,,,,,,"Lie on your side with your legs straight and stacked on top of each other. Place your bottom arm under your head for support. Engage your core and lift your top leg as high as possible without rotating your hips or leaning backward. Pause for a moment at the top, then slowly lower your leg back down to the starting position. Repeat for the desired number of repetitions, then switch sides."
,lever seated hip abduction,abductors,"glutes, hamstrings",upper legs,leverage machine,,,,,,"Adjust the seat height so that your knees are at a 90-degree angle. Sit on the machine with your back against the backrest and your feet on the footrests. Place your hands on the side handles for stability. Engage your abductors and slowly push your legs apart, away from the midline of your body. Pause for a moment at the end of the movement, then slowly bring your legs back together to the starting position. Repeat for the desired number of repetitions."
,resistance band seated hip abduction,abductors,"glutes, hamstrings",upper legs,resistance band,,,,,,"Sit on a chair or bench with your back straight and feet flat on the ground. Wrap the resistance band around your thighs, just above your knees. Place your hands on the sides of the chair or bench for support. Engage your abductors (outer thigh muscles) and slowly push your knees apart, against the resistance of the band. Pause for a moment at the end of the movement, then slowly bring your knees back together. Repeat for the desired number of repetitions."
,band push sit-up,abs,"shoulders, chest",waist,band,,,,,,"Attach the band securely to a stable anchor point. Lie flat on your back with your knees bent and feet flat on the ground. Hold the band with both hands and extend your arms straight up towards the ceiling. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,barbell rollerout,abs,lower back,waist,barbell,,,,,,"Kneel on the floor and hold a barbell with both hands, shoulder-width apart. Roll the barbell forward, extending your arms and keeping your core engaged. Continue rolling forward until your body is fully extended and your arms are overhead. Pause for a moment, then slowly roll the barbell back towards your knees, maintaining control. Repeat for the desired number of repetitions."
,barbell press sit-up,abs,"shoulders, chest",waist,barbell,,,,,,"Lie flat on your back on a mat with your knees bent and feet flat on the ground. Hold the barbell with an overhand grip, resting it on your chest. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,barbell sitted alternate leg raise (female),abs,"hip flexors, quadriceps",waist,barbell,,,,,,"Sit on a bench with your back straight and hold a barbell across your thighs. Place your hands on the sides of the bench for support. Keeping your legs straight, lift one leg up as high as possible while keeping it parallel to the ground. Lower the leg back down and repeat with the other leg. Continue alternating legs for the desired number of repetitions."
,barbell standing twist,abs,"obliques, lower back",waist,barbell,,,,,,"Stand with your feet shoulder-width apart and hold a barbell in front of your chest with both hands, palms facing down. Engage your core and keep your back straight throughout the exercise. Slowly twist your torso to the right, pivoting on your feet and hips, while keeping your lower body stable. Pause for a moment at the end of the twist, then slowly return to the starting position. Repeat the twist to the left side. Continue alternating twists for the desired number of repetitions."
,3/4 sit-up,abs,"hip flexors, lower back",waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,negative crunch,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,lying leg-hip raise,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your legs extended and your arms by your sides. Place your hands under your glutes for support. Engage your core and lift your legs off the ground, raising them towards the ceiling. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,lying leg raise flat bench,abs,hip flexors,waist,body weight,,,,,,"Lie flat on a flat bench with your back pressed against it. Place your hands under your glutes for support. Keep your legs straight and together, and lift them up towards the ceiling. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,lying elbow to knee,abs,"hip flexors, lower back",waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engage your abs and lift your upper body off the ground, bringing your right elbow towards your left knee. At the same time, extend your right leg straight out and lift it off the ground. Pause for a moment, then return to the starting position. Repeat the movement, this time bringing your left elbow towards your right knee and extending your left leg. Continue alternating sides for the desired number of repetitions."
,lunge with twist,abs,"quadriceps, glutes, hamstrings",waist,body weight,,,,,,"Start by standing with your feet shoulder-width apart. Take a step forward with your right foot, lowering your body into a lunge position. As you lunge, twist your torso to the right, bringing your left elbow towards your right knee. Pause for a moment, then return to the starting position. Repeat on the other side, stepping forward with your left foot and twisting your torso to the left. Continue alternating sides for the desired number of repetitions."
,oblique crunches floor,abs,obliques,waist,body weight,,,,,,"Lie on your back with your knees bent and feet flat on the floor. Place your hands behind your head or cross them over your chest. Engage your abs and lift your shoulder blades off the floor, rotating your torso to one side. Pause for a moment, then lower your shoulder blades back down to the floor. Repeat on the other side, alternating sides with each repetition."
,side-to-side toe touch  ,abs,"obliques, hip flexors",waist,body weight,,,,,,"Stand with your feet shoulder-width apart and your arms extended to the sides. Bend at the waist to the right, reaching your right hand towards your right foot while keeping your left hand extended to the side. Return to the starting position and then bend at the waist to the left, reaching your left hand towards your left foot while keeping your right hand extended to the side. Repeat the side-to-side bending motion for the desired number of repetitions."
,shoulder tap,abs,"shoulders, triceps",waist,body weight,,,,,,"Start in a high plank position with your hands directly under your shoulders and your body in a straight line. Engage your core and lift your right hand off the ground, reaching across to tap your left shoulder. Place your right hand back on the ground and repeat with your left hand tapping your right shoulder. Continue alternating shoulder taps while keeping your hips and torso stable. Repeat for the desired number of repetitions."
